id,customer_code,customer_name,email,phone,address,city,state,country,created_at
1,DC-CUST-20755,Cally Holloway,,,"5365 Noble Nectar Island, 725.0",Caguas,PR,Puerto Rico,2026-09-14 13:02:38.694424
2,DC-CUST-19492,Irene Luna,,,"2679 Rustic Loop, 725.0",Caguas,PR,Puerto Rico,2026-09-14 13:02:38.694578
3,DC-CUST-19491,Gillian Maldonado,,,"8510 Round Bear Gate, 95125.0",San Jose,CA,EE. UU.,2026-09-14 13:02:38.694651
4,DC-CUST-19490,Tana Tate,,,"3200 Amber Bend, 90027.0",Los Angeles,CA,EE. UU.,2026-09-14 13:02:38.694714
5,DC-CUST-19489,Orli Hendricks,,,"8671 Iron Anchor Corners, 725.0",Caguas,PR,Puerto Rico,2026-09-14 13:02:38.694772
6,DC-CUST-19488,Kimberly Flowers,,,"2122 Hazy Corner, 14150.0",Tonawanda,NY,EE. UU.,2026-09-14 13:02:38.694828
7,DC-CUST-19487,Constance Terrell,,,"1879 Green Pine Bank, 725.0",Caguas,PR,Puerto Rico,2026-09-14 13:02:38.694882
8,DC-CUST-19486,Erica Stevens,,,"7595 Cotton Log Row, 33162.0",Miami,FL,EE. UU.,2026-09-14 13:02:38.694937
9,DC-CUST-19485,Nichole Olsen,,,"2051 Dusty Route, 725.0",Caguas,PR,Puerto Rico,2026-09-14 13:02:38.695054
10,DC-CUST-19484,Oprah Delacruz,,,"9139 Blue Blossom Court, 94583.0",San Ramon,CA,EE. UU.,2026-09-14 13:02:38.695249
11,DC-CUST-19483,Germane Short,,,"4058 Quiet Heights, 725.0",Caguas,PR,Puerto Rico,2026-09-14 13:02:38.695443
12,DC-CUST-19482,Freya Robbins,,,"3243 Shady Corner, 11520.0",Freeport,NY,EE. UU.,2026-09-14 13:02:38.695546
13,DC-CUST-19481,Cassandra Jensen,,,"131 Sunny Treasure Green, 93905.0",Salinas,CA,EE. UU.,2026-09-14 13:02:38.695626
14,DC-CUST-19480,Natalie Mcfadden,,,"2531 Wishing Square, 725.0",Caguas,PR,Puerto Rico,2026-09-14 13:02:38.695687
15,DC-CUST-19479,Kimberley Sharpe,,,"6417 Silver Towers, 1960.0",Peabody,MA,EE. UU.,2026-09-14 13:02:38.695862
16,DC-CUST-19478,Sade Lancaster,,,"257 Harvest Close, 725.0",Caguas,PR,Puerto Rico,2026-09-14 13:02:38.696108
17,DC-CUST-19477,Brynne Giles,,,"7342 Hazy Beacon Park, 729.0",Canovanas,PR,Puerto Rico,2026-09-14 13:02:38.696299
18,DC-CUST-19476,Ciara Bird,,,"7787 Lazy Corners, 90723.0",Paramount,CA,EE. UU.,2026-09-14 13:02:38.696476
19,DC-CUST-19475,Bo Griffin,,,"5136 Rustic Pioneer Estates, 725.0",Caguas,PR,Puerto Rico,2026-09-14 13:02:38.696570
20,DC-CUST-19474,Kim Simon,,,"1723 Tawny Via, 60056.0",Mount Prospect,IL,EE. UU.,2026-09-14 13:02:38.696756
21,DC-CUST-19473,Kellie Farmer,,,"7111 Silent Fox Gardens, 90813.0",Long Beach,CA,EE. UU.,2026-09-14 13:02:38.696881
22,DC-CUST-19472,Alma Conley,,,"3732 Old Mountain Bank, 725.0",Caguas,PR,Puerto Rico,2026-09-14 13:02:38.697034
23,DC-CUST-19471,Yeo Bird,,,"6217 Rustic Lake Forest, 95670.0",Rancho Cordova,CA,EE. UU.,2026-09-14 13:02:38.697088
24,DC-CUST-19470,Lucy Mcknight,,,"1082 Quiet Treasure Link, 725.0",Caguas,PR,Puerto Rico,2026-09-14 13:02:38.697130
25,DC-CUST-19469,Simone Vance,,,"3176 Round Gate, 59102.0",Billings,MT,EE. UU.,2026-09-14 13:02:38.697170
26,DC-CUST-19468,Roary Wheeler,,,"1426 Fallen Line, 725.0",Caguas,PR,Puerto Rico,2026-09-14 13:02:38.697210
27,DC-CUST-19467,Quail Ashley,,,"9814 Emerald Prairie Limits, 18702.0",Wilkes Barre,PA,EE. UU.,2026-09-14 13:02:38.697249
28,DC-CUST-19466,Hannah Velez,,,"8271 Tawny Elk Abbey, 725.0",Caguas,PR,Puerto Rico,2026-09-14 13:02:38.697356
29,DC-CUST-19465,Evelyn Kelly,,,"3931 Gentle Ramp, 48066.0",Roseville,MI,EE. UU.,2026-09-14 13:02:38.697412
30,DC-CUST-19464,Jael Mcfarland,,,"9699 Honey Rise, 90706.0",Bellflower,CA,EE. UU.,2026-09-14 13:02:38.697459
31,DC-CUST-19463,Teagan Romero,,,"1564 Rocky Terrace, 725.0",Caguas,PR,Puerto Rico,2026-09-14 13:02:38.697503
32,DC-CUST-19462,Joan Wilder,,,"4294 High Passage, 60187.0",Wheaton,IL,EE. UU.,2026-09-14 13:02:38.697544
33,DC-CUST-19461,Basia Watts,,,"5918 Golden Beacon Freeway, 725.0",Caguas,PR,Puerto Rico,2026-09-14 13:02:38.697582
34,DC-CUST-19460,Dominique Rogers,,,"3915 Broad Lookout, 48238.0",Detroit,MI,EE. UU.,2026-09-14 13:02:38.697620
