id,forecast_name,horizon,start_date,accuracy,status,created_by,created_at
1,Monthly Forecast Run 001,6 Months,2025-09-01,95.48,Completed,Aarav Kumar,2026-12-06 13:05:18
2,Monthly Forecast Run 002,6 Months,2025-10-01,83.9,Completed,Aditi Rao,2026-01-26 15:35:51
3,Monthly Forecast Run 003,6 Months,2025-11-01,89.04,Completed,Aditya Mehta,2027-01-28 09:17:12
4,Monthly Forecast Run 004,6 Months,2025-12-01,94.4,Completed,Akash Nair,2026-04-30 08:19:31
5,Monthly Forecast Run 005,6 Months,2026-01-01,87.29,Completed,Amar Das,2026-03-02 12:52:26
6,Monthly Forecast Run 006,6 Months,2026-02-01,91.13,Completed,Ananya Choudhary,2027-03-10 13:48:19
7,Monthly Forecast Run 007,6 Months,2026-03-01,86.84,Completed,Arjun Menon,2026-08-19 16:42:57
8,Monthly Forecast Run 008,6 Months,2026-04-01,86.27,Completed,Bhavna Sharma,2027-03-01 13:04:22
9,Monthly Forecast Run 009,6 Months,2026-05-01,83.49,Completed,Charan Naidu,2025-09-04 09:41:09
10,Monthly Forecast Run 010,6 Months,2026-06-01,86.84,Completed,Deepak Gupta,2026-11-26 11:42:46
11,Monthly Forecast Run 011,6 Months,2026-07-01,89.56,Completed,Divya Verma,2026-11-23 12:06:42
12,Monthly Forecast Run 012,6 Months,2026-08-01,93.69,Completed,Gaurav Joshi,2026-08-21 12:52:57
13,Monthly Forecast Run 013,6 Months,2026-09-01,93.6,Completed,Harish Mishra,2026-10-27 14:06:42
14,Monthly Forecast Run 014,6 Months,2026-10-01,92.56,Completed,Isha Pillai,2026-04-20 17:17:05
15,Monthly Forecast Run 015,6 Months,2026-11-01,84.39,Completed,Karan Reddy,2026-01-14 14:20:03
16,Monthly Forecast Run 016,6 Months,2026-12-01,88.43,Completed,Kavya Patel,2026-09-17 14:41:08
17,Monthly Forecast Run 017,6 Months,2027-01-01,85.02,Completed,Lakshmi Iyer,2026-05-17 14:03:38
18,Monthly Forecast Run 018,6 Months,2027-02-01,92.69,Completed,Manish Singh,2026-01-27 08:50:18
19,Monthly Forecast Run 019,6 Months,2025-09-01,83.14,Completed,Meera Kulkarni,2026-11-11 11:05:09
20,Monthly Forecast Run 020,6 Months,2025-10-01,95.35,Completed,Mohan Bhat,2026-09-20 13:07:15
21,Monthly Forecast Run 021,6 Months,2025-11-01,86.18,Completed,Neha Kumar,2025-12-27 13:49:42
22,Monthly Forecast Run 022,6 Months,2025-12-01,88.61,Completed,Nikhil Rao,2026-07-10 08:55:14
23,Monthly Forecast Run 023,6 Months,2026-01-01,83.21,Completed,Pooja Mehta,2026-09-11 09:22:32
24,Monthly Forecast Run 024,6 Months,2026-02-01,95.78,Completed,Pradeep Nair,2026-05-11 10:07:47
25,Monthly Forecast Run 025,6 Months,2026-03-01,83.32,Completed,Priya Das,2026-09-16 18:14:08
26,Monthly Forecast Run 026,6 Months,2026-04-01,96.57,Completed,Rahul Choudhary,2026-05-10 12:58:05
27,Monthly Forecast Run 027,6 Months,2026-05-01,89.65,Completed,Rakesh Menon,2025-10-17 08:18:40
28,Monthly Forecast Run 028,6 Months,2026-06-01,94.75,Completed,Ravi Sharma,2026-02-24 14:49:38
29,Monthly Forecast Run 029,6 Months,2026-07-01,95.56,Completed,Rohit Naidu,2025-09-24 08:43:00
30,Monthly Forecast Run 030,6 Months,2026-08-01,89.03,Completed,Sakshi Gupta,2025-09-27 12:39:52
31,Monthly Forecast Run 031,6 Months,2026-09-01,87.19,Completed,Sameer Verma,2026-02-25 13:49:49
32,Monthly Forecast Run 032,6 Months,2026-10-01,88.69,Completed,Sanjay Joshi,2026-08-27 15:50:48
33,Monthly Forecast Run 033,6 Months,2026-11-01,86.13,Completed,Shreya Mishra,2025-10-05 18:56:22
34,Monthly Forecast Run 034,6 Months,2026-12-01,95.18,Completed,Siddharth Pillai,2025-11-13 18:07:54
35,Monthly Forecast Run 035,6 Months,2027-01-01,86.26,Completed,Sneha Reddy,2026-11-16 17:36:44
36,Monthly Forecast Run 036,6 Months,2027-02-01,84.62,Completed,Srinivas Patel,2026-03-23 16:00:48
